6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
6215,Medical and Diagnostic Laboratories ,Health Practitioners ,All Establishments ,Employer Firms ,"4,177","4,243","4,019",5.4,4.9,5
