5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
5231X ,Commodity Contracts Dealing and Brokerage8 ,Brokering and dealing products - Derivative contracts ,All Establishments ,Employer Firms ,"1,785","2,359","2,003",7.3,6,6.8
