62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
62131,Offices of Chiropractors ,Patient out-of-pocket - Patients' assigned Social Security benefits ,All Establishments ,Employer Firms ,143,152,147,16.6,14.9,14.7
